@relation 'reduced_clean_mobile_data-weka.filters.unsupervised.attribute.Wavelet-do-not-check-capabilities-AHaar-PZero-Fweka.filters.MultiFilter -F \"weka.filters.unsupervised.attribute.ReplaceMissingValues \" -F \"weka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0\"'

@attribute Haar_1 numeric
@attribute Haar_2 numeric
@attribute Haar_3 numeric
@attribute Haar_4 numeric
@attribute Haar_5 numeric
@attribute Haar_6 numeric
@attribute Haar_7 numeric
@attribute Haar_8 numeric
@attribute Haar_9 numeric
@attribute Haar_10 numeric
@attribute Haar_11 numeric
@attribute Haar_12 numeric
@attribute Haar_13 numeric
@attribute Haar_14 numeric
@attribute Haar_15 numeric
@attribute Haar_16 numeric
@attribute Haar_17 numeric
@attribute Haar_18 numeric
@attribute Haar_19 numeric
@attribute Haar_20 numeric
@attribute Haar_21 numeric
@attribute Haar_22 numeric
@attribute Haar_23 numeric
@attribute Haar_24 numeric
@attribute Haar_25 numeric
@attribute Haar_26 numeric
@attribute Haar_27 numeric
@attribute Haar_28 numeric
@attribute Haar_29 numeric
@attribute Haar_30 numeric
@attribute Haar_31 numeric
@attribute Haar_32 numeric
@attribute price_category {high,not_high}

@data
1.765003,0.940045,-0.087584,0.583333,-0.079194,-0.492314,0.824958,0,-0.303411,-0.615644,-0.190148,-0.004651,-0.833333,0,0,0,0.391155,-0.59397,0.249567,0.020275,-0.279476,0.253003,-0.18794,0.45754,0.235702,0,0,0,0,0,0,0,high
1.304047,0.675507,-0.528764,0.444444,0.258753,-0.551301,0.628539,0,0.258462,-0.193707,0.076759,-0.280365,-0.111111,0,0,0,0.620078,0.254558,0.041595,-0.155868,0.258431,-0.210487,-0.488733,0.157465,0.549972,-0.707107,0,0,0,0,0,0,high
1.53351,1.022822,-0.016755,0.361111,0.33879,-0.49908,0.510688,0,0.854983,-0.30292,-0.184274,0.176845,-0.277778,0,0,0,-0.007095,0.19799,0.249567,-0.107713,0.265165,0.252049,-0.358996,-0.062392,0.31427,0.707107,0,0,0,0,0,0,high
2.550188,1.371677,0.428978,0.833333,0.3009,0.202122,1.178511,0,0.093846,0.494044,-0.203117,0.625817,-0.333333,0,0,0,-0.065271,-0.19799,-0.083189,-0.153333,0.180144,0.057885,-0.216376,0.118841,-0.471405,0,0,0,0,0,0,0,high
2.018881,0.958221,0.011649,0.75,-0.123535,-0.354406,1.06066,0,-0.148963,-0.028094,0.541959,-0.206859,0.5,0,0,0,0.581294,-0.622254,-0.623918,0.515757,0.138054,0.032401,-0.623972,0.148552,0,0.707107,0,0,0,0,0,0,high
1.829617,1.299286,0.011241,0.375,0.610881,-0.505712,0.53033,0,0.343813,-0.268132,-0.434688,0.298542,-0.25,0,0,0,-0.079461,-0.565685,0.291162,0.356088,0.218025,-0.054949,0.068549,-0.011884,0.353553,-0.707107,0,0,0,0,0,0,high
2.248462,1.305653,0.283297,0.666667,0.174875,0.219852,0.942809,0,-0.198127,0.254849,-0.04657,0.53089,-0.666667,0,0,0,-0.478184,-0.19799,-0.332756,-0.378898,-0.346819,0.270858,-0.320155,0.303046,0.471405,0,0,0,0,0,0,0,high
1.9007,0.879323,0.233455,0.722222,-0.350879,-0.193159,1.021376,0,0.851505,0.299336,-0.077194,0.624592,0.444444,0,0,0,-0.210004,0,-0.249567,-0.672892,0.057242,0.278056,-0.127531,-0.065363,-0.078567,-0.707107,0,0,0,0,0,0,high
1.238037,1.120186,0.272405,0.083333,-0.038681,-0.083381,0.117851,0,-0.377391,0.002688,0.232832,0.222901,0.166667,0,0,0,0.399669,-0.480833,-0.707107,0.231901,-0.191929,0.137345,-0.692551,0.127755,0.235702,0,0,0,0,0,0,0,high
2.363382,1.322363,0.32261,0.736111,0.386712,-0.158474,1.041018,0,0.17786,0.103152,-0.485697,0.245457,0.472222,0,0,0,-0.059596,-0.311127,-0.499134,-0.016474,-0.019361,-0.08163,0.247733,0.297104,-0.039284,-0.707107,0,0,0,0,0,0,high
1.491736,1.413169,-0.077488,0.055556,-0.228924,-0.438015,0.078567,0,-0.173579,0.32042,0.162988,0.098195,0.111111,0,0,0,0.46163,-0.707107,-0.374351,-0.198953,0.245804,0.287741,-0.116656,-0.095073,0.157135,0,0,0,0,0,0,0,high
1.736109,1.32363,-0.044507,0.291667,0.166778,-0.045322,0.412479,0,0.097458,-0.882775,0.482775,0.022637,-0.416667,0,0,0,-0.512712,-0.650538,0.041595,0.032948,0.291261,-0.133793,-0.497581,0.121813,0.117851,-0.707107,0,0,0,0,0,0,high
1.878384,1.406979,-0.585547,0.333333,-0.18893,-0.267605,0.471405,0,0.175184,0.115275,0.290853,0.114138,0.666667,0,0,0,0.643727,0.39598,-0.623918,0.627272,0.090072,-0.264632,-0.016589,0.332756,-0.471405,0,0,0,0,0,0,0,high
1.726951,1.314472,0.078607,0.291667,0.293872,-0.483023,0.412479,0,0.322408,0.09319,0.226976,0.016207,-0.416667,0,0,0,-0.251153,-0.707107,-0.707107,-0.210358,-0.156574,-0.330557,-0.417952,0.047537,0.117851,0.707107,0,0,0,0,0,0,high
1.11211,0.994259,-0.147711,0.083333,0.517883,-0.558719,0.117851,0,0.397057,-0.304659,-0.263972,0.38171,0.166667,0,0,0,-0.400142,0.452548,0,0.116584,-0.08923,-0.486113,-0.015697,0.421887,0.235702,0,0,0,0,0,0,0,high
1.380841,0.516599,0.185014,0.611111,0.454807,-0.343324,0.864242,0,0.68495,-0.441756,0.048951,0.026988,-0.777778,0,0,0,-0.162706,0.282843,0,0.310468,0.069869,-0.202672,-0.478204,0.145581,0.31427,0,0,0,0,0,0,0,high
1.649087,1.295534,-1.181506,0.25,-0.182135,-0.286781,0.353553,0,0.201538,-0.343822,0.134046,0.095123,-0.5,0,0,0,0.369871,0.084853,0.166378,-0.447327,0.297153,-0.42073,-0.040487,-0.017826,0,0.707107,0,0,0,0,0,0,high
1.419916,0.869944,-0.710914,0.388889,0.167032,-0.470224,0.549972,0,0.572241,-0.336022,0.15674,0.325275,-0.222222,0,0,0,-0.604943,0,0,0.003802,-0.310622,0.158529,-0.125286,0.080218,0.392837,0.707107,0,0,0,0,0,0,high
1.049161,0.597398,-0.029635,0.319444,0.267559,-0.050116,0.451763,0,0.156522,-0.378136,0.180141,0.241645,-0.361111,0,0,0,0.645619,0.424264,0,0.377631,0.524438,0.013162,-0.467131,0.026739,0.196419,0.707107,0,0,0,0,0,0,high
1.396639,0.846667,0.484887,0.388889,-0.306378,-0.242564,0.549972,0,-0.46107,-0.075743,0.129167,0.293632,-0.222222,0,0,0,0.253045,-0.509117,-0.582323,-0.003802,0.359446,0.176777,-0.588273,0.303046,0.392837,0.707107,0,0,0,0,0,0,high
1.115099,0.525843,-0.754708,0.416667,-0.061673,0.112679,0.589256,0,0.159197,-0.246416,0.519952,0.760192,-0.166667,0,0,0,0.225139,0,0,-0.280055,-0.111117,-0.224322,-0.048722,-0.083189,0.471405,-0.707107,0,0,0,0,0,0,high
1.927674,0.906298,0.202469,0.722222,-0.075749,-0.337853,1.021376,0,0.529632,0.196184,0.021505,-0.024241,0.444444,0,0,0,-0.297505,0.367696,-0.45754,0.050689,0.48319,0.042198,-0.57419,0.490221,-0.078567,0.707107,0,0,0,0,0,0,high
1.946456,0.964363,0.405265,0.694444,0.744676,-0.416622,0.982093,0,-0.161672,-0.705197,0.070479,0.574875,-0.611111,0,0,0,-0.285208,-0.056569,0,0.211625,0.021887,-0.255564,0.021358,0.219857,0.549972,0,0,0,0,0,0,0,high
1.437042,1.20134,0.011621,0.166667,0.464434,-0.44885,0.235702,0,-0.652977,-0.610215,0.09872,0.202366,0.333333,0,0,0,0.434197,-0.056569,0,0.39157,0.500867,-0.219835,0.074196,0.071305,0.471405,0,0,0,0,0,0,0,high
2.21053,1.778409,0.310779,0.305556,0.172439,-0.023206,0.432121,0,0.287625,0.144476,-0.214695,0.216701,-0.388889,0,0,0,-0.0175,-0.424264,-0.291162,0.290193,-0.48824,0.386646,0.264261,0.163407,0.157135,0.707107,0,0,0,0,0,0,high
1.671211,1.514077,-0.509928,0.111111,0.369916,-0.295675,0.157135,0,0.332776,0.272718,-0.443488,-0.031642,0.222222,0,0,0,-0.377912,0.565685,0.623918,0.081102,-0.090914,0.271849,-0.104529,0.065363,0.31427,0,0,0,0,0,0,0,high
1.628992,1.157588,-0.465307,0.333333,0.769007,-0.344329,0.471405,0,-0.503679,-0.208781,0.632762,-0.219337,-0.333333,0,0,0,0.560483,-0.141421,0,0.138127,-0.075761,-0.241561,-0.533689,0.023768,0.235702,0.707107,0,0,0,0,0,0,high
1.498545,0.987857,-0.556707,0.361111,0.197157,-0.334598,0.510688,0,-0.259866,-0.402488,-0.429167,0.175539,-0.277778,0,0,0,0.3396,-0.707107,0.041595,-0.017741,0.347661,-0.459619,0.290127,-0.053479,0.31427,0.707107,0,0,0,0,0,0,high
1.629433,1.118745,-0.558562,0.361111,0.261882,-0.013195,0.510688,0,-0.162475,-0.507168,0.257231,0.289651,-0.277778,0,0,0,0.505617,-0.678823,0,0.56011,-0.152365,-0.130353,0.267022,0.020797,0.31427,-0.707107,0,0,0,0,0,0,high
1.258718,1.180151,0.585792,0.055556,0.357788,-0.207921,0.078567,0,-0.511839,-0.843348,0.063362,0.481103,0.111111,0,0,0,0.633795,-0.056569,0.041595,0.134325,-0.060609,0.241131,-0.532596,-0.166378,0.157135,0,0,0,0,0,0,0,high
1.596205,1.360503,-0.448175,0.166667,0.293254,-0.355267,0.235702,0,0.548629,-0.319787,0.228198,0.369392,0.333333,0,0,0,-0.298924,0.339411,0.207973,0.503085,0.073236,0.077759,-0.031401,0.398119,0.471405,0,0,0,0,0,0,0,high
1.062571,0.826868,-0.524965,0.166667,-0.036018,0.200178,0.235702,0,0.060067,-0.431004,0.311286,0.48223,0.333333,0,0,0,0.311222,0.226274,0,-0.176143,-0.436049,0.310589,-0.264838,-0.11587,0.471405,0,0,0,0,0,0,0,high
1.91844,1.211333,-0.132404,0.5,0.0121,-0.358067,0.707107,0,-0.311104,0.144687,0.125686,0.383919,1,0,0,0,0.521698,-0.452548,-0.582323,0.627272,0.133003,-0.278505,0.070861,0.071305,0,0,0,0,0,0,0,0,high
1.693111,1.04493,-0.171212,0.458333,0.118865,-0.118447,0.648181,0,-0.473512,0.201613,-0.277038,0.507152,0.916667,0,0,0,0.348587,-0.39598,-0.707107,0.421983,0.287893,-0.245319,0.028289,0.362467,-0.117851,0,0,0,0,0,0,0,high
1.698456,1.168126,0.052041,0.375,0.544053,0.055008,0.53033,0,-0.495786,-0.243042,0.23911,0.381345,-0.25,0,0,0,0.656498,-0.056569,0.291162,0.163471,-0.317356,0.433276,-0.364268,-0.098044,0.353553,-0.707107,0,0,0,0,0,0,high
1.780147,1.249817,-0.202484,0.375,-0.270136,0.012169,0.53033,0,-0.181003,0.603679,-0.408482,0.605068,-0.25,0,0,0,0.422845,0.678823,-0.166378,-0.234435,-0.463828,0.148788,0.16337,0.311959,0.353553,0.707107,0,0,0,0,0,0,high
1.966288,1.259181,-0.04336,0.5,0.005061,-0.376611,0.707107,0,-0.157726,0.061354,0.085201,0.088024,1,0,0,0,0.682039,-0.509117,-0.582323,-0.197686,-0.316514,-0.219592,-0.086092,0.365438,0,0,0,0,0,0,0,0,high
1.535621,1.005291,-0.620881,0.375,-0.248241,-0.228133,0.53033,0,-0.187625,0.236559,0.601335,0.185229,-0.25,0,0,0,0.158922,0.424264,-0.707107,-0.098843,-0.046299,-0.103336,-0.255055,0.17232,0.353553,-0.707107,0,0,0,0,0,0,high
1.698456,1.168126,0.052041,0.375,0.544053,0.055008,0.53033,0,-0.495786,-0.243042,0.23911,0.381345,-0.25,0,0,0,0.656498,-0.056569,0.291162,0.163471,-0.317356,0.433276,-0.364268,-0.098044,0.353553,-0.707107,0,0,0,0,0,0,high
0.962556,0.550077,-0.465029,0.291667,0.119558,0.127447,0.412479,0,0.306823,-0.217742,0.64138,-0.221967,-0.416667,0,0,0,0.490481,0.056569,0,0.307934,-0.152365,-0.08206,-0.008678,-0.02971,0.117851,-0.707107,0,0,0,0,0,0,not_high
1.482546,1.286127,-0.242764,0.138889,0.82871,-0.161942,0.196419,0,0.443478,-0.271505,0.25235,-0.218007,0.277778,0,0,0,-0.079934,-0.707107,0,-0.087438,0.067344,-0.023614,0.022223,0.098044,0.392837,0,0,0,0,0,0,0,not_high
1.871717,1.203894,0.928454,0.472222,0.540455,-0.345852,0.667823,0,-0.066221,0.124657,-0.320278,-0.363372,0.944444,0,0,0,-0.09365,0,-0.499134,0.424518,0.041248,0.354339,0.219497,0.038623,-0.078567,0,0,0,0,0,0,0,not_high
1.450525,1.096972,-0.819607,0.25,0.085936,-0.38982,0.353553,0,-0.168361,-0.430108,0.461593,-0.212195,-0.5,0,0,0,0.271018,0.509117,0,-0.334545,0.250013,-0.405343,0.183585,-0.059421,0,0.707107,0,0,0,0,0,0,not_high
0.985608,0.514204,-0.223156,0.333333,0.113104,-0.080158,0.471405,0,0.098662,-0.33871,0.445791,0.496841,-0.333333,0,0,0,0.422372,0.282843,0,0.479008,-0.281159,-0.027839,0.428493,0.059421,0.235702,0.707107,0,0,0,0,0,0,not_high
1.350893,0.408084,-0.44719,0.666667,-0.253853,0.08323,0.942809,0,0.058796,0.481025,0.311136,-0.305802,-0.666667,0,0,0,0.196287,0.113137,-0.665512,0.06843,-0.352712,-0.065906,-0.178647,0.439713,0.471405,0,0,0,0,0,0,0,not_high
1.369066,1.231573,-0.556771,0.097222,0.186247,-0.173243,0.137493,0,0.292776,-0.332912,0.094889,0.206906,0.194444,0,0,0,-0.660755,0.339411,0.124784,-0.504352,0.221392,0.084527,0.178621,0.121813,0.274986,0,0,0,0,0,0,0,not_high
1.304422,0.911585,0.227812,0.277778,0.282004,0.139176,0.392837,0,0.176789,-0.345035,-0.306078,0.121578,-0.444444,0,0,0,-0.513658,0.650538,0.249567,0.266115,-0.279476,0.018341,0.278013,-0.014855,0.078567,0.707107,0,0,0,0,0,0,not_high
1.714258,1.066077,0.300348,0.458333,-0.44781,0.024471,0.648181,0,-0.103478,0.550179,-0.171555,0.412158,-0.083333,0,0,0,0.504198,0.650538,0,0.321873,-0.126269,0.691776,0.499607,0.118841,0.589256,-0.707107,0,0,0,0,0,0,not_high
1.568666,1.234754,-0.081624,0.236111,-0.393585,-0.349597,0.333912,0,0.15204,0.712524,-0.141911,-0.460323,0.472222,0,0,0,0.582713,0.367696,-0.041595,0.364958,0.252538,0.546821,-0.223088,-0.017826,0.667823,0,0,0,0,0,0,0,not_high
1.726759,1.31428,0.147502,0.291667,0.08217,0.119811,0.412479,0,-0.392977,-0.208465,-0.209948,0.156196,-0.416667,0,0,0,0.575618,-0.282843,0.623918,0.290193,0.41753,0.35632,0.050013,0.37138,0.117851,0.707107,0,0,0,0,0,0,not_high
1.212257,1.172973,-0.301607,0.027778,-0.069237,0.448501,0.039284,0,0.083545,-0.564991,-0.073152,0.013106,0.055556,0,0,0,0.51413,0.39598,0.124784,-0.490413,0.067344,0.293874,-0.049458,0.136668,0.078567,0,0,0,0,0,0,0,not_high
1.928298,0.631936,0.624214,0.916667,-0.48636,0.104758,1.296362,0,0.353378,-0.325901,-0.014767,0.069418,-0.166667,0,0,0,-0.546766,0.367696,-0.540729,-0.079835,0.057242,0.224921,-0.19872,-0.014855,-0.235702,0,0,0,0,0,0,0,not_high
1.418652,0.790112,-0.026184,0.444444,-0.072741,-0.117654,0.628539,0,0.716388,-0.583966,-0.260814,0.448631,-0.111111,0,0,0,-0.401088,0,0.166378,-0.421983,0.318198,0.515036,0.434946,0.303046,0.549972,-0.707107,0,0,0,0,0,0,not_high
1.508361,0.644119,0.420465,0.611111,-0.482173,0.363779,0.864242,0,0.350301,0.217215,0.05389,-0.122413,-0.777778,0,0,0,0.69339,0.19799,-0.332756,0.617134,0.003367,0.244571,0.121015,0.210944,0.31427,0,0,0,0,0,0,0,not_high
1.451326,0.999563,0.246521,0.319444,-0.642992,-0.665587,0.451763,0,0.535117,-0.444444,0.272619,-0.042402,-0.361111,0,0,0,-0.657444,0,-0.707107,0.078567,-0.22055,0,-0.021609,0.222828,0.196419,0.707107,0,0,0,0,0,0,not_high
1.507999,1.016952,-0.23566,0.347222,-0.30123,0.059229,0.491046,0,0.361873,0.188594,0.236869,-0.21622,-0.305556,0,0,0,0.653187,0.141421,-0.582323,-0.063361,-0.09849,-0.293836,0.111464,0.17232,0.274986,0.707107,0,0,0,0,0,0,not_high
1.56763,1.0373,0.637181,0.375,0.274178,-0.084225,0.53033,0,0.433445,-0.045699,0.110736,0.0443,-0.25,0,0,0,-0.094123,-0.707107,-0.707107,0.30033,-0.143947,-0.164119,0.337746,0.270364,0.353553,0.707107,0,0,0,0,0,0,not_high
2.223508,0.848578,0.208057,0.972222,-0.370922,0.321189,1.37493,0,0.007893,-0.099515,0.157434,-0.144157,-0.055556,0,0,0,0.661701,0.650538,-0.45754,-0.002534,-0.447834,-0.107337,0.414696,-0.02971,-0.078567,0,0,0,0,0,0,0,not_high
1.441989,0.852734,-0.567226,0.416667,-0.315954,0.119581,0.589256,0,0.064281,-0.162872,0.001476,-0.153502,-0.166667,0,0,0,0.260613,0.169706,0.415945,0.174876,-0.175093,0.015556,0.078435,0.490221,0.471405,0.707107,0,0,0,0,0,0,not_high
1.862428,0.82141,-0.015042,0.736111,-0.294035,0.433533,1.041018,0,-0.666555,0.321316,-0.265336,0.212872,-0.527778,0,0,0,0.047298,-0.424264,-0.374351,-0.357355,-0.304729,0.333548,0.13314,-0.106957,0.667823,0,0,0,0,0,0,0,not_high
1.222879,1.02646,0.008692,0.138889,0.052489,0.127506,0.196419,0,0.396722,-0.409551,0.248686,-0.282438,0.277778,0,0,0,-0.542036,0.311127,0.249567,0.357355,-0.00926,0.047807,-0.078443,0.112899,0.392837,0,0,0,0,0,0,0,not_high
2.10168,1.060662,0.688041,0.736111,0.285014,0.637478,1.041018,0,0.303612,0.151223,0.174008,0.146801,0.472222,0,0,0,-0.023176,-0.452548,-0.415945,0.470137,-0.223075,0.034794,0.310174,-0.124784,-0.039284,-0.707107,0,0,0,0,0,0,not_high
1.800502,1.191605,0.313759,0.430556,-0.379851,0.511565,0.608898,0,-0.053846,0.046068,-0.150817,-0.162422,0.861111,0,0,0,0.630957,-0.707107,-0.332756,-0.240771,0.180144,0.414691,0.085665,0.412974,-0.196419,0,0,0,0,0,0,0,not_high
1.608683,0.646232,0.207419,0.680556,0.770667,0.047989,0.962451,0,0.285886,-0.120704,-0.68579,0.268833,-0.638889,0,0,0,-0.189665,-0.59397,0.166378,-0.29146,0.029463,0.344186,-0.04525,0.026739,0.510688,0,0,0,0,0,0,0,not_high
1.448063,0.662388,0.243318,0.555556,-0.477129,0.014564,0.785674,0,-0.269565,-0.205197,0.366394,0.412519,0.111111,0,0,0,0.184463,0.565685,-0.707107,0.211625,0.505918,-0.119079,-0.303634,0.059421,-0.549972,0.707107,0,0,0,0,0,0,not_high
0.744714,0.567937,-0.087607,0.125,-0.382199,-0.128386,0.176777,0,0.070033,-0.572897,0.203125,0.481031,0.25,0,0,0,0.155611,0.056569,0.083189,-0.049421,-0.167517,0.06082,0.188514,-0.083189,0.353553,0,0,0,0,0,0,0,not_high
1.89586,1.267321,0.026199,0.444444,0.392459,-0.182797,0.628539,0,0.568963,0.146057,0.344241,0.217704,-0.111111,0,0,0,-0.015608,0.59397,-0.707107,0.343416,0.327458,-0.234587,0.362665,-0.112899,0.549972,0.707107,0,0,0,0,0,0,not_high
1.413168,0.90248,-0.10104,0.361111,-0.445016,-0.112875,0.510688,0,0.453512,0.093612,-0.08941,0.033074,-0.277778,0,0,0,0.641362,0,-0.582323,-0.243306,0.494975,-0.126445,0.399895,0.564497,0.31427,-0.707107,0,0,0,0,0,0,not_high
1.799012,1.170473,0.109818,0.444444,-0.289604,0.395038,0.628539,0,-0.9,-0.133091,0.314989,-0.183531,0.888889,0,0,0,0,-0.141421,-0.582323,0.234435,0.113642,0.099485,0.373568,-0.02971,-0.157135,0,0,0,0,0,0,0,not_high
1.747939,1.139041,-0.202159,0.430556,-0.969266,0.615658,0.608898,0,-0.085753,0.33618,0.10955,0.094008,-0.138889,0,0,0,0.105002,0.226274,-0.041595,0.425785,-0.235702,0.178497,0.15809,0.08616,0.510688,-0.707107,0,0,0,0,0,0,not_high
1.849463,0.670952,0.350347,0.833333,-0.008023,-0.243938,1.178511,0,0.900602,0.163346,0.136325,-0.10738,-0.333333,0,0,0,-0.027433,0.113137,-0.540729,-0.30033,-0.327458,0.207103,-0.213436,0.205002,-0.471405,0,0,0,0,0,0,0,not_high
1.398571,1.005734,-0.047615,0.277778,0.467937,-0.29332,0.392837,0,-0.682876,-0.436538,-0.054545,0.261939,-0.444444,0,0,0,0.335344,-0.113137,0.041595,0.344683,-0.17341,0.055866,0.202463,0.329785,0.078567,0.707107,0,0,0,0,0,0,not_high
1.248892,0.581069,-0.5146,0.472222,0.516888,0.141727,0.667823,0,-0.244816,-0.024194,-0.16522,0.375502,-0.055556,0,0,0,0.360885,-0.707107,0,0.034215,-0.416688,-0.190724,0.302031,0.303046,0.628539,-0.707107,0,0,0,0,0,0,not_high
1.244297,0.537191,-0.298645,0.5,-0.146804,0.345646,0.707107,0,-0.143278,-0.290217,0.214513,0.038967,0,0,0,0,0.16507,0.367696,0.207973,-0.481542,0.067344,0.064298,0.399178,-0.148552,0.707107,-0.707107,0,0,0,0,0,0,not_high
1.367885,0.601853,0.40536,0.541667,-0.231417,0.347753,0.766032,0,-0.264548,-0.062724,0.52704,-0.071498,-0.916667,0,0,0,0.332979,-0.707107,-0.707107,0.481542,-0.518545,-0.150321,0.04616,-0.023768,0.117851,0,0,0,0,0,0,0,not_high
1.029659,0.754673,0.094371,0.194444,0.10673,-0.146134,0.274986,0,-0.246488,-0.426102,-0.287482,0.224819,0.388889,0,0,0,0.35852,-0.707107,0.124784,0.413113,-0.06566,0.093464,0.236043,0.077247,0.549972,0,0,0,0,0,0,0,not_high
1.480101,0.694427,-0.299238,0.555556,0.110495,0.251001,0.785674,0,-0.302676,-0.482237,-0.194725,0.240946,-0.888889,0,0,0,0.279059,-0.707107,0.041595,-0.062094,0.435207,-0.064092,0.177954,0.353553,0.157135,0,0,0,0,0,0,0,not_high
1.236869,0.60833,-0.667554,0.444444,0.360595,-0.124452,0.628539,0,-0.426421,-0.06362,0.263752,0.183398,-0.111111,0,0,0,0.104056,-0.707107,0,-0.067162,0.215499,-0.236456,0.29435,0.380293,0.549972,-0.707107,0,0,0,0,0,0,not_high
2.044888,1.573483,-0.136818,0.333333,-0.235793,-0.299531,0.471405,0,0.044147,0.151803,-0.028753,-0.440503,-0.333333,0,0,0,-0.644673,-0.707107,-0.332756,-0.547438,-0.429315,0.378551,-0.033837,0,0.235702,-0.707107,0,0,0,0,0,0,not_high
1.533033,1.297331,0.385148,0.166667,-0.138983,-0.200658,0.235702,0,0.094983,0.590818,-0.55789,0.382771,0.333333,0,0,0,-0.57278,-0.707107,-0.083189,-0.290193,0.076603,0.265791,-0.067305,-0.098044,0.471405,0,0,0,0,0,0,0,not_high
1.441989,0.852734,-0.567226,0.416667,-0.315954,0.119581,0.589256,0,0.064281,-0.162872,0.001476,-0.153502,-0.166667,0,0,0,0.260613,0.169706,0.415945,0.174876,-0.175093,0.015556,0.078435,0.490221,0.471405,0.707107,0,0,0,0,0,0,not_high
